TransactionAmount,TransactionDuration,CustomerAge,AccountBalance,Cluster,TransactionType,Channel
890.24,161.0,33.0,5140.93,3,Credit,Online
361.27,180.0,63.0,7945.57,4,Debit,ATM
131.56,42.00000000000001,44.0,5873.54,2,Debit,Branch
485.51,37.0,76.0,3074.45,3,Credit,Online
547.87,131.0,64.0,6155.76,4,Debit,ATM
457.30000000000007,15.0,28.0,8318.29,1,Debit,Online
506.24000000000007,64.0,58.0,230.09,4,Debit,ATM
486.59,119.0,57.0,2513.56,2,Debit,Branch
163.68,292.0,41.0,10090.05,2,Debit,Branch
581.65,176.0,22.0,480.19000000000005,4,Debit,ATM
52.01,85.0,48.0,1120.88,4,Debit,ATM
630.24,61.99999999999999,21.0,370.81,4,Debit,ATM
523.74,159.0,43.0,13498.55,4,Debit,ATM
705.6,123.99999999999999,40.0,14804.7,2,Debit,Branch
217.5,35.0,46.0,3057.4,3,Credit,Branch
91.48,141.0,51.0,14942.779999999999,4,Debit,ATM
5.25,49.0,39.0,14143.32,4,Debit,ATM
54.03,161.0,56.0,6736.3,3,Credit,ATM
736.73,10.0,48.0,3313.07,2,Debit,Branch
368.91,14.0,54.0,829.7099999999999,2,Debit,Branch
33.06,170.0,53.0,1540.87,3,Credit,Online
66.5,144.0,32.0,6820.23,3,Credit,Online
177.08,85.0,35.0,13475.14,1,Debit,Online
588.54,130.0,32.0,714.4499999999999,2,Debit,Branch
173.5,282.0,21.0,1306.91,4,Debit,ATM
78.33,189.0,56.0,7255.33,3,Credit,Online
40.66,156.0,59.0,1153.84,2,Debit,Branch
97.22,55.0,77.0,6647.73,3,Credit,Branch
34.07,81.0,22.0,8709.77,2,Debit,Branch
492.06,74.0,23.0,857.9,1,Debit,Online
842.01,185.0,53.0,509.45000000000005,3,Credit,Online
73.55,158.0,51.0,2812.06,4,Debit,ATM
760.53,118.0,57.0,6179.91,1,Debit,Online
273.08,134.0,26.0,6609.3,3,Credit,Branch
371.69,143.0,67.0,3484.32,2,Debit,Branch
218.96,13.0,18.0,754.21,4,Debit,ATM
227.39,65.0,18.0,751.09,1,Debit,Online
237.99,86.0,39.0,8510.09,3,Credit,Branch
186.6,13.0,58.0,1508.72,1,Debit,Online
341.15,148.0,18.0,511.36999999999995,1,Debit,Online
434.58,215.0,59.0,12648.32,4,Debit,ATM
312.88,44.0,54.0,233.21,3,Credit,Branch
75.15,154.0,23.0,1092.92,4,Debit,ATM
23.3,161.0,59.0,6711.15,4,Debit,ATM
47.38,61.00000000000001,25.0,459.37,3,Credit,Online
512.81,30.0,79.0,6994.34,2,Debit,Branch
488.15000000000003,168.00000000000003,43.0,7071.09,2,Debit,Branch
12.82,156.0,44.0,9045.19,4,Debit,ATM
66.9,129.0,79.0,5238.71,3,Credit,Online
535.91,22.0,43.0,9642.12,1,Debit,Online
270.72,53.00000000000001,26.0,6263.96,3,Credit,Online
97.98,18.0,72.0,7460.329999999999,2,Debit,Branch
196.08,98.0,61.0,4233.82,1,Debit,Online
251.18000000000004,246.0,42.0,8303.9,4,Debit,ATM
44.52,205.0,28.0,314.28,1,Debit,Online
178.87,180.0,35.0,5241.23,1,Debit,Online
913.49125,174.0,54.0,323.69,3,Credit,ATM
386.68,128.0,46.0,6863.06,2,Debit,Branch
167.14,20.0,76.0,3877.7299999999996,1,Debit,Online
345.22,253.0,69.0,4046.5800000000004,2,Debit,Branch
74.85,117.0,72.0,2409.73,4,Debit,ATM
671.73,53.99999999999999,58.0,5211.88,2,Debit,Branch
255.03999999999996,151.99999999999997,45.0,6217.86,4,Debit,ATM
45.77,109.0,25.0,5978.12,1,Debit,Online
329.69,66.0,26.0,1671.66,3,Credit,Online
362.04,198.0,58.0,8421.88,3,Credit,Branch
11.92,52.00000000000001,53.0,14611.9,2,Debit,Branch
47.42,28.0,64.0,8253.52,4,Debit,ATM
35.99,129.0,63.0,4489.79,2,Debit,Branch
151.19,96.0,37.0,11903.82,3,Credit,Branch
242.62000000000003,234.0,22.0,483.02000000000004,3,Credit,Online
48.72,17.0,21.0,816.0799999999999,2,Debit,Branch
43.46,80.0,25.0,578.06,4,Debit,ATM
913.49125,126.0,25.0,477.3,1,Debit,Online
443.79,87.0,53.0,3133.85,4,Debit,ATM
365.14,57.0,68.0,5894.09,1,Debit,Online
757.41,37.0,22.0,9532.42,4,Debit,ATM
20.54,72.0,51.0,5327.03,2,Debit,Branch
475.35999999999996,105.0,34.0,2000.6,4,Debit,ATM
34.74,24.0,56.0,6827.57,4,Debit,ATM
689.54,93.0,27.0,1633.76,2,Debit,Branch
211.18,90.0,73.0,4069.1699999999996,4,Debit,ATM
211.36,286.0,51.0,7943.469999999999,3,Credit,Branch
744.41,107.0,39.0,8842.47,3,Credit,Online
61.43,170.0,24.0,1882.77,1,Debit,Online
167.44,82.0,37.0,12526.71,2,Debit,Branch
361.46,83.0,21.0,4737.84,1,Debit,Online
378.85,126.0,78.0,2300.53,2,Debit,Branch
241.11,55.0,30.0,12385.05,2,Debit,Branch
131.93,13.0,31.0,4547.06,3,Credit,Branch
20.28,213.0,36.0,2047.83,1,Debit,Online
415.88,170.0,70.0,10008.33,2,Debit,Branch
49.99,139.0,62.0,2299.64,4,Debit,ATM
913.49125,153.0,27.0,243.92,1,Debit,Online
100.66,144.0,50.0,14473.33,2,Debit,Branch
485.5400000000001,148.0,19.0,1533.32,1,Debit,Online
321.15,179.0,46.0,7005.05,2,Debit,Branch
711.3,51.00000000000001,21.0,955.4,2,Debit,Branch
12.23,139.0,42.0,7844.880000000001,4,Debit,ATM
350.94,64.0,20.0,221.56,4,Debit,ATM
301.85,25.000000000000004,54.0,6586.19,1,Debit,Online
29.339999999999996,30.0,65.0,3944.82,1,Debit,Online
231.71,148.0,27.0,1127.98,2,Debit,Branch
179.43,244.0,58.0,2626.63,4,Debit,ATM
36.71,55.0,48.0,6459.38,2,Debit,Branch
138.12,281.0,53.0,1649.69,3,Credit,Branch
233.24,72.0,33.0,6939.23,4,Debit,ATM
609.14,177.0,39.0,9033.87,4,Debit,ATM
436.64,111.0,31.0,14365.18,2,Debit,Branch
870.43,55.0,29.0,10115.18,2,Debit,Branch
354.4,128.0,74.0,7358.65,4,Debit,ATM
22.63,112.0,53.0,4438.03,1,Debit,Online
182.19,53.00000000000001,26.0,1176.1,2,Debit,Branch
126.80999999999999,290.0,26.0,5427.98,2,Debit,Branch
288.17,50.00000000000001,37.0,3653.11,1,Debit,Online
118.77,123.0,55.0,2104.82,2,Debit,Branch
651.82,166.0,21.0,1802.77,4,Debit,ATM
66.65,33.0,37.0,3559.96,4,Debit,ATM
98.53,166.0,69.0,3564.8,2,Debit,Branch
138.95,30.0,71.0,6752.92,1,Debit,Online
33.89,177.0,26.0,1444.75,2,Debit,Branch
23.71,164.0,58.0,10788.89,2,Debit,Branch
913.49125,238.0,55.0,2235.7,1,Debit,Online
26.06,283.0,65.0,12893.63,4,Debit,ATM
17.07,44.0,27.0,2798.15,2,Debit,Branch
703.89,61.99999999999999,46.0,3583.67,1,Debit,Online
913.49125,155.0,47.0,2120.8,4,Debit,ATM
26.55,228.0,77.0,3085.38,4,Debit,ATM
147.4,259.0,42.0,6797.71,2,Debit,Branch
202.11,18.0,27.0,746.47,4,Debit,ATM
308.42,39.0,75.0,5427.81,2,Debit,Branch
11.18,144.0,53.0,7467.300000000001,4,Debit,ATM
294.15,136.0,38.0,6362.16,1,Debit,Online
29.58,121.0,54.0,8345.26,2,Debit,Branch
139.45,30.999999999999996,27.0,1305.76,1,Debit,Online
432.63,137.0,29.0,13648.36,4,Debit,ATM
131.43,65.0,43.0,1337.5,1,Debit,Online
516.72,128.0,42.0,2015.6900000000003,4,Debit,ATM
121.82,123.0,69.0,8354.54,1,Debit,Online
374.5,178.0,26.0,1671.51,3,Credit,Branch
166.13,227.0,68.0,11822.53,4,Debit,ATM
626.9,146.0,23.0,587.1099999999999,4,Debit,ATM
466.85,165.0,56.0,5422.53,2,Debit,Branch
788.84,231.0,58.0,1913.73,1,Debit,Online
873.65,59.00000000000001,37.0,12139.83,3,Credit,Online
525.28,134.0,69.0,4693.6,4,Debit,ATM
110.17,137.0,30.0,464.2,4,Debit,ATM
632.69,75.99999999999999,80.0,4363.74,4,Debit,ATM
124.35,90.0,72.0,3319.76,4,Debit,ATM
43.85,122.0,62.0,4356.98,4,Debit,ATM
283.81,29.000000000000004,28.0,1519.35,2,Debit,Branch
168.53,112.0,71.0,5962.58,4,Debit,ATM
218.59,123.0,40.0,6699.23,3,Credit,Branch
132.84,143.0,21.0,822.73,4,Debit,ATM
157.37,289.0,42.0,13964.31,3,Credit,Branch
144.77,159.0,20.0,867.3199999999999,1,Debit,Online
643.22,93.0,64.0,1035.86,4,Debit,ATM
913.49125,297.0,41.0,13347.69,2,Debit,Branch
208.07,36.0,32.0,8478.9,1,Debit,Online
94.3,57.0,57.0,11088.95,2,Debit,Branch
295.5,36.0,59.0,6280.66,4,Debit,ATM
30.23,99.0,44.0,481.13,4,Debit,ATM
112.05,159.0,26.0,1122.88,3,Credit,ATM
180.24,144.0,58.0,8431.23,2,Debit,Branch
13.71,148.0,38.0,8342.79,3,Credit,Online
96.54,95.0,58.0,7182.22,2,Debit,Branch
79.35,70.0,67.0,1692.15,1,Debit,Online
101.04,160.0,27.0,1695.57,4,Debit,ATM
74.42,68.00000000000001,49.0,6264.21,1,Debit,Online
39.66,169.0,52.0,8497.34,2,Debit,Branch
99.36,45.99999999999999,40.0,1272.12,4,Debit,ATM
123.84999999999998,244.0,56.0,3959.62,1,Debit,Online
426.93,247.99999999999997,19.0,476.18999999999994,4,Debit,ATM
133.73,123.0,25.0,1872.2200000000003,3,Credit,Online
222.39,73.0,49.0,3117.39,1,Debit,Online
215.94,140.0,22.0,1841.69,3,Credit,Online
6.3,283.0,80.0,7697.680000000001,2,Debit,Branch
826.23,209.0,29.0,7580.590000000001,4,Debit,ATM
416.37,67.0,35.0,7936.91,1,Debit,Online
131.46,258.0,67.0,6642.33,2,Debit,Branch
202.86,149.0,61.0,7642.250000000001,3,Credit,Branch
268.39,171.0,26.0,136.74,4,Debit,ATM
194.85,130.0,23.0,319.84,1,Debit,Online
137.35,220.0,40.0,12662.66,3,Credit,Online
712.75,25.000000000000004,44.0,8126.0599999999995,2,Debit,Branch
353.82,143.0,42.0,705.7499999999999,4,Debit,ATM
507.24999999999994,143.0,73.0,5331.57,2,Debit,Branch
212.74,128.0,27.0,7645.469999999999,2,Debit,Branch
364.42,146.0,51.0,8119.73,4,Debit,ATM
195.12,144.0,46.0,6101.15,4,Debit,ATM
230.61,204.0,80.0,2561.42,2,Debit,Branch
739.28,47.0,58.0,11905.64,3,Credit,Branch
390.35,61.00000000000001,64.0,7095.88,3,Credit,ATM
242.03,123.99999999999999,58.0,4382.73,1,Debit,Online
242.39,271.0,18.0,1328.73,3,Credit,ATM
135.03,180.0,23.0,1278.0,4,Debit,ATM
83.5,91.0,61.0,1749.79,2,Debit,Branch
193.54,267.0,80.0,2929.51,2,Debit,Branch
617.36,61.00000000000001,29.0,8926.38,2,Debit,Branch
775.23,37.99999999999999,59.0,5977.59,3,Credit,Online
266.57,100.00000000000001,72.0,7676.92,4,Debit,ATM
153.4,144.0,45.0,4657.7,4,Debit,ATM
913.49125,251.0,53.0,5579.11,2,Debit,Branch
5.12,90.0,34.0,3293.01,2,Debit,Branch
119.10999999999999,131.0,57.0,7998.25,4,Debit,ATM
913.49125,147.0,24.0,1093.89,1,Debit,Online
119.72,123.0,30.0,3435.34,2,Debit,Branch
107.4,32.0,58.0,344.07,1,Debit,Online
115.92,57.0,53.0,3897.17,4,Debit,ATM
438.04,247.0,67.0,5358.95,4,Debit,ATM
677.29,287.0,27.0,627.79,1,Debit,Online
296.0,247.99999999999997,35.0,7418.82,2,Debit,Branch
299.09,84.00000000000001,36.0,5615.26,3,Credit,Branch
461.5199999999999,44.0,24.0,1995.1799999999998,3,Credit,Branch
100.52,110.0,50.0,453.39,4,Debit,ATM
85.35,166.0,66.0,2173.76,4,Debit,ATM
79.76,170.0,39.0,6452.14,2,Debit,Branch
778.49,107.0,75.0,7713.67,3,Credit,Online
386.38,135.0,42.0,5528.36,1,Debit,Online
165.25,106.0,35.0,9939.94,1,Debit,Online
14.29,150.0,34.0,7016.99,4,Debit,ATM
232.79,145.0,55.0,2661.3,3,Credit,Branch
913.49125,159.0,60.0,9410.17,3,Credit,Branch
92.29,115.0,54.0,2026.3199999999997,2,Debit,Branch
293.97,153.0,68.0,7371.85,2,Debit,Branch
136.32,113.0,19.0,264.83,1,Debit,Online
251.06,34.0,36.0,10001.66,1,Debit,Online
50.17,35.0,77.0,7752.140000000001,3,Credit,ATM
21.4,258.0,34.0,9594.11,2,Debit,Branch
73.28,21.000000000000004,21.0,1329.41,2,Debit,Branch
70.23,260.0,38.0,11624.93,4,Debit,ATM
689.29,100.00000000000001,22.0,168.84,4,Debit,ATM
745.03,231.0,28.0,160.57,1,Debit,Online
54.61,160.0,58.0,7135.64,4,Debit,ATM
54.05,146.0,27.0,469.13999999999993,2,Debit,Branch
107.47,144.0,67.0,7517.499999999999,1,Debit,Online
611.11,282.0,20.0,919.84,4,Debit,ATM
219.63,44.0,48.0,8013.63,4,Debit,ATM
188.7,123.0,54.0,5077.06,2,Debit,Branch
93.52,97.0,51.0,2791.2,1,Debit,Online
275.92,107.0,62.0,1777.38,3,Credit,Branch
376.79,265.0,68.0,7749.14,2,Debit,Branch
8.98,56.0,66.0,4516.76,1,Debit,Online
697.32,91.0,68.0,2016.0200000000002,1,Debit,Online
17.45,88.0,18.0,1959.52,4,Debit,ATM
302.16,138.0,80.0,3876.61,1,Debit,Online
442.74,136.0,23.0,1790.27,2,Debit,Branch
623.9,249.0,27.0,711.4699999999999,4,Debit,ATM
445.41,235.0,35.0,12154.66,4,Debit,ATM
63.41,36.0,26.0,1546.22,4,Debit,ATM
346.85,88.0,44.0,7208.15,4,Debit,ATM
71.95,53.00000000000001,59.0,9267.32,3,Credit,Online
7.499999999999999,36.0,63.0,6485.78,1,Debit,Online
206.46,279.0,65.0,3984.38,4,Debit,ATM
423.11,47.0,60.0,412.78,4,Debit,ATM
35.84,172.0,54.0,4795.65,3,Credit,Online
88.6,105.0,28.0,246.57,3,Credit,Branch
913.49125,168.00000000000003,18.0,1058.13,4,Debit,ATM
53.81,37.0,55.0,2564.62,3,Credit,ATM
22.46,78.0,54.0,6631.5,1,Debit,Online
334.89,260.0,21.0,1661.68,1,Debit,Online
319.27,59.00000000000001,54.0,5504.01,3,Credit,Online
144.3,88.0,18.0,312.19,4,Debit,ATM
348.7,149.0,69.0,2445.58,3,Credit,Branch
366.21,181.0,62.0,10862.99,4,Debit,ATM
99.11,12.0,55.0,5414.87,1,Debit,Online
539.35,127.0,55.0,3919.4399999999996,4,Debit,ATM
188.99,91.99999999999999,58.0,7315.34,2,Debit,Branch
913.49125,58.00000000000001,46.0,3740.7300000000005,4,Debit,ATM
710.14,227.0,26.0,465.62999999999994,4,Debit,ATM
308.68,170.0,53.0,9992.36,1,Debit,Online
166.68,139.0,57.0,5141.19,4,Debit,ATM
0.9899999999999999,133.0,45.0,4317.85,4,Debit,ATM
505.19000000000005,128.0,30.0,5326.68,4,Debit,ATM
66.58,79.0,23.0,1636.32,2,Debit,Branch
223.43,178.0,77.0,7932.410000000001,2,Debit,Branch
659.95,114.0,60.0,3927.6900000000005,1,Debit,Online
634.86,45.0,27.0,588.4999999999999,4,Debit,ATM
286.5,60.00000000000001,30.0,8517.95,3,Credit,Branch
322.96,168.00000000000003,76.0,2401.59,3,Credit,Branch
654.48,114.0,19.0,6776.41,2,Debit,Branch
